
########## n255_A: RS(255,239) + BCH(255,239), total rate = 0.8784 ##########


--- n255_A / pure_rs_bm ---
  n127/pure_rs_lccbr @ 11.00 dB: FER=0.000e+00, BER=0.000e+00, avg_f2m=23510, lat=5063μs, 200 frames, 1.5s

--- n127 / scheme_a ---
  n127/scheme_a @ 5.00 dB: FER=1.000e+00, BER=2.633e-01, avg_f2m=27947, lat=6377μs, 100 frames, 0.9s
  n127/scheme_a @ 5.50 dB: FER=1.000e+00, BER=2.141e-01, avg_f2m=28014, lat=6289μs, 100 frames, 0.9s
  n127/scheme_a @ 6.00 dB: FER=9.900e-01, BER=1.515e-01, avg_f2m=28033, lat=6237μs, 100 frames, 0.9s
  n127/scheme_a @ 6.50 dB: FER=9.300e-01, BER=1.155e-01, avg_f2m=27580, lat=6281μs, 100 frames, 0.9s
  n127/scheme_a @ 7.00 dB: FER=7.200e-01, BER=5.364e-02, avg_f2m=26625, lat=6234μs, 100 frames, 0.9s
  n127/scheme_a @ 7.50 dB: FER=3.800e-01, BER=2.322e-02, avg_f2m=24922, lat=6105μs, 100 frames, 0.9s
  n127/scheme_a @ 8.00 dB: FER=1.700e-01, BER=8.619e-03, avg_f2m=23810, lat=6056μs, 100 frames, 0.9s
  n127/scheme_a @ 8.50 dB: FER=2.667e-02, BER=1.505e-03, avg_f2m=23000, lat=5947μs, 150 frames, 1.3s
  n127/scheme_a @ 9.00 dB: FER=1.333e-02, BER=6.643e-04, avg_f2m=22909, lat=5958μs, 150 frames, 1.3s
  n127/scheme_a @ 9.50 dB: FER=1.333e-02, BER=4.242e-04, avg_f2m=22936, lat=5932μs, 150 frames, 1.3s
  n127/scheme_a @ 10.00 dB: FER=0.000e+00, BER=0.000e+00, avg_f2m=22833, lat=5908μs, 150 frames, 1.3s

--- n127 / scheme_b ---
  n127/scheme_b @ 5.00 dB: FER=1.000e+00, BER=2.633e-01, avg_f2m=26868, lat=6403μs, 100 frames, 0.9s
  n127/scheme_b @ 5.50 dB: FER=1.000e+00, BER=2.141e-01, avg_f2m=26935, lat=6344μs, 100 frames, 0.9s
  n127/scheme_b @ 6.00 dB: FER=9.900e-01, BER=1.515e-01, avg_f2m=26954, lat=6364μs, 100 frames, 0.9s
  n127/scheme_b @ 6.50 dB: FER=9.300e-01, BER=1.155e-01, avg_f2m=26501, lat=6258μs, 100 frames, 0.9s
  n127/scheme_b @ 7.00 dB: FER=7.200e-01, BER=5.364e-02, avg_f2m=25546, lat=6173μs, 100 frames, 0.9s
  n127/scheme_b @ 7.50 dB: FER=3.800e-01, BER=2.322e-02, avg_f2m=23843, lat=6025μs, 100 frames, 0.9s
  n127/scheme_b @ 8.00 dB: FER=1.700e-01, BER=8.619e-03, avg_f2m=22731, lat=6003μs, 100 frames, 0.8s
  n127/scheme_b @ 8.50 dB: FER=2.667e-02, BER=1.505e-03, avg_f2m=21921, lat=5938μs, 150 frames, 1.3s
  n127/scheme_b @ 9.00 dB: FER=1.333e-02, BER=6.643e-04, avg_f2m=21830, lat=5951μs, 150 frames, 1.3s
  n127/scheme_b @ 9.50 dB: FER=1.333e-02, BER=4.242e-04, avg_f2m=21857, lat=5931μs, 150 frames, 1.3s
  n127/scheme_b @ 10.00 dB: FER=0.000e+00, BER=0.000e+00, avg_f2m=21754, lat=5953μs, 150 frames, 1.3s

Saved figures/all_configs_fer.{png,pdf}
